3/15/19,5:40:12,T=16.0,H=24.0
3/15/19,5:45:13,T=16.0,H=23.0
3/15/19,5:50:14,T=16.0,H=24.0
3/15/19,5:55:19,T=16.0,H=24.0
3/15/19,6:00:22,T=15.0,H=26.0
3/15/19,6:05:23,T=16.0,H=24.0
3/15/19,6:10:24,T=16.0,H=37.0
3/15/19,6:15:24,T=15.0,H=30.0
3/15/19,6:20:27,T=15.0,H=28.0
3/15/19,6:25:28,T=15.0,H=24.0
3/15/19,6:30:29,T=15.0,H=26.0
3/15/19,6:35:29,T=15.0,H=24.0
3/15/19,6:40:30,T=15.0,H=30.0
3/15/19,6:45:30,T=15.0,H=24.0
3/15/19,6:50:33,T=15.0,H=26.0
3/15/19,6:55:36,T=16.0,H=24.0
3/15/19,7:00:37,T=15.0,H=25.0
3/15/19,7:05:43,T=16.0,H=26.0
3/15/19,7:10:43,T=16.0,H=27.0
3/15/19,7:15:46,T=16.0,H=26.0
3/15/19,7:20:47,T=17.0,H=23.0
3/15/19,7:25:48,T=19.0,H=21.0
3/15/19,7:30:48,T=19.0,H=27.0
3/15/19,7:35:49,T=22.0,H=20.0
3/15/19,7:40:49,T=26.0,H=19.0
3/15/19,7:45:50,T=27.0,H=17.0
3/15/19,7:50:50,T=28.0,H=17.0
3/15/19,7:55:51,T=30.0,H=16.0
3/15/19,8:00:51,T=30.0,H=16.0
3/15/19,8:05:52,T=30.0,H=16.0
3/15/19,8:10:53,T=31.0,H=15.0
3/15/19,8:15:53,T=32.0,H=15.0
3/15/19,8:20:54,T=33.0,H=15.0
3/15/19,8:25:54,T=34.0,H=14.0
3/15/19,8:30:55,T=34.0,H=15.0
3/15/19,8:35:56,T=34.0,H=14.0
3/15/19,8:40:56,T=35.0,H=13.0
3/15/19,8:45:57,T=36.0,H=13.0
3/15/19,8:50:57,T=36.0,H=13.0
3/15/19,8:55:58,T=31.0,H=15.0
3/15/19,9:00:59,T=35.0,H=13.0
3/15/19,9:05:59,T=37.0,H=12.0
3/15/19,9:11:02,T=35.0,H=14.0
3/15/19,9:16:03,T=35.0,H=13.0
3/15/19,9:21:03,T=34.0,H=18.0
3/15/19,9:26:04,T=31.0,H=15.0
3/15/19,9:31:05,T=32.0,H=15.0
3/15/19,9:36:05,T=32.0,H=15.0
3/15/19,9:41:06,T=31.0,H=15.0
3/15/19,9:46:09,T=30.0,H=16.0
3/15/19,9:51:10,T=30.0,H=16.0
3/15/19,9:56:10,T=31.0,H=18.0
3/15/19,10:01:13,T=29.0,H=16.0
3/15/19,10:06:14,T=29.0,H=19.0
3/15/19,10:11:20,T=35.0,H=13.0
3/15/19,10:16:20,T=34.0,H=14.0
3/15/19,10:21:23,T=30.0,H=16.0
3/15/19,10:26:24,T=30.0,H=22.0
